순번,선정연도,야영장명,간단한소개,주소,상세URL
1,2023,월아산 자연휴양림,숲속의 진주라 불리는 휴양림속 캠핑장,경상남도 진주시 진성면 달음산로 313 월아산 우드랜드,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=100528
2,2023,연곡해변 솔향기캠핑장,장애인 이용 가능 데크와 카라반등 무장애 관광 인프라를 갖춘 해변 캠핑장,강원특별자치도 강릉시 연곡면 해안로 1282-10 ,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=2185
3,2023,백운산 자연휴양림 야영장,전기차 충전소와 덤프스테이션을 갖춘 친환경자연휴양림,전라남도 광양시 옥룡면 백계로 337  ,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=1279
4,2023,태백산국립공원 소도야영장,우수한 친환경 인프라와 장애인 이용 가능 시설을 갖춘 캠핑장,강원특별자치도 태백시 천제단길 181 (소도동) ,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=100551
5,2023,라이프위드도그,"반려견 산책로,수영장,체육관을 갖춘 반려동물 친화 캠핑장",강원특별자치도 인제군 인제읍 자작나무숲길 1112 ,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=100183
6,2023,내원야영장,"재난 안전 극장, 심폐소생술 교육 등 다양한 프로그램을 운영하는 캠핑장",경상남도 산청군 삼장면 대포리 산 106-2  ,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=590
7,2023,단호샌드파크 캠핑장,"인근 농가와 연계한 도자기 만들기, 천연염색 체험 활동을 운영하는 캠핑장",경상북도 안동시 남후면 풍산단호로 835-35 ,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=689
8,2023,달서별빛캠프 캠핑장,"별 모양 조형물, 체육시설, 물놀이장 등 다양한 레크레이션 시설을 갖춘 캠핑장",대구광역시 달서구 앞산순환로 248 (송현동) ,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=6765
9,2023,광명도덕산캠핑장,대한민국 100대 관광지인 광명동굴과 도덕산 출렁다리 인근에 위치한 캠핑장,경기도 광명시 밤일안로42번길 69 (하안동) ,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=331
10,2023,충주 목계솔밭 캠핑장,대규모 친환경 캠핑장,충청북도 충주시 중앙탑면 첨단산업로 1438 ,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=100812
