업소명,전화번호,도로명주소,지번주소,위도,경도,영업상태명,음식의유형,주된음식종류
늘채움,063 -272 -5737,"전북특별자치도 전주시 덕진구 덕진연못3길 6, 1층 (덕진동2가)",전북특별자치도 전주시 덕진구 덕진동2가 200-5 ,35.81707255,127.1459492,영업,한식,생선구이
한국관, 063- 272-9229,전북특별자치도 전주시 덕진구 기린대로 425 (금암동),전북특별자치도 전주시 덕진구 금암동 712-3 712-8번지 ,35.79995434,127.0998527,영업,한식,비빔밥
평양면옥,063 -254 -5888,전북특별자치도 전주시 덕진구 솔내8길 10-3 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 484-8 ,35.82490668,127.1040205,영업,한식,냉면
도래지, 063- 241-3993,전북특별자치도 전주시 덕진구 백제대로 810 (우아동3가),전북특별자치도 전주시 덕진구 우아동3가 748-25 ,35.82256018,127.1036042,영업,한식,복어탕
해이루, 063- 272-1829,전북특별자치도 전주시 덕진구 명륜5길 9 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1277-14 ,35.81443025,127.1157791,영업,한식,감자탕
천하장사, 063- 211-0061,전북특별자치도 전주시 덕진구 온고을로 546-1 (여의동),전북특별자치도 전주시 덕진구 여의동 1263-32 ,35.8153506,127.1522641,영업,한식,비빔밥
콩각시굴신랑, 063- 278-1378,전북특별자치도 전주시 덕진구 숲정이5길 11 (진북동),전북특별자치도 전주시 덕진구 진북동 434-33 ,35.81710225,127.0933076,영업,한식,콩나물국밥
아중도토리묵촌, 063- 244-1233,전북특별자치도 전주시 덕진구 동부대로 381 (우아동1가),전북특별자치도 전주시 덕진구 우아동1가 1123-11 ,35.78187657,127.1184842,영업,한식,도토리묵도가니
고궁, 063- 251-3211,전북특별자치도 전주시 덕진구 송천중앙로 33 (덕진동2가),전북특별자치도 전주시 덕진구 덕진동2가 168-9 ,35.81598133,127.1097753,영업,한식,전주비빔밥
꾸석지돌판한우전주아중점, 063- 242-2952,전북특별자치도 전주시 덕진구 아중로 127 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 913-3 ,35.81302868,127.1312532,영업,한식,구이류
대게나라아중점, 063- 241-2333,전북특별자치도 전주시 덕진구 아중로 139 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 916-1 ,35.80321739,127.0998934,영업,한식,대게찜
남원요천추어탕,063 -244 -5161,전북특별자치도 전주시 덕진구 백제대로 695 (인후동2가),전북특별자치도 전주시 덕진구 인후동2가 1530-22 ,35.81795856,127.1163487,영업,한식,추어탕
백자원,063 -246 -1405,전북특별자치도 전주시 덕진구 백제대로 702 (인후동2가),전북특별자치도 전주시 덕진구 인후동2가 1529-9 ,35.80005485,127.1432877,영업,중식,짜장면
아리랑하우스, 063- 241-9301,전북특별자치도 전주시 덕진구 한배미1길 29 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 939-7 ,35.81783573,127.1106842,영업,한식,소고기전골
초원갈비, 063- 242-8811,전북특별자치도 전주시 덕진구 동부대로 651 (우아동3가),전북특별자치도 전주시 덕진구 우아동3가 257-5 ,35.81971466,127.103957,영업,한식,"갈비탕, 찜"
겐돈소바, 063- 246-2585,전북특별자치도 전주시 덕진구 동가재미3길 50 (인후동1가),전북특별자치도 전주시 덕진구 인후동1가 850-1 ,35.78349837,127.1061771,영업,일식,소바
하누마을, 063- 245-8292,전북특별자치도 전주시 덕진구 아중3길 21 (우아동2가),전북특별자치도 전주시 덕진구 우아동2가 908-10 ,35.77437163,127.1006052,영업,한식,소고기구이
