번호,식당(ID),식당명,지역명,식당이미지(URL),식당상태
7645,23947,풍남문한우촌,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/165361_1175835102.jpg,운영중
7646,23947,풍남문한우촌,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/165361_1145853015.jpg,운영중
7647,23947,풍남문한우촌,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/165361_2124783508.jpg,운영중
7648,23947,풍남문한우촌,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/165361_812617416.jpg,운영중
7649,23947,풍남문한우촌,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/165361_1299120189.jpg,운영중
7650,23947,풍남문한우촌,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/165361_1250915802.jpg,운영중
7651,23947,풍남문한우촌,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/165361_355959203.jpg,운영중
7652,23947,풍남문한우촌,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/165361_866967486.jpg,운영중
7653,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_797466418.jpg,운영중
7654,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_1077476718.jpg,운영중
7655,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_608631072.jpg,운영중
7656,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_1204278456.jpg,운영중
7657,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_264186210.jpg,운영중
7658,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_1574662663.jpg,운영중
7659,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_814861229.jpg,운영중
7660,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_446222357.jpg,운영중
7661,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_1127190582.jpg,운영중
7662,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_729456713.jpg,운영중
7663,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_935342444.jpg,운영중
7664,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_114545470.jpg,운영중
7665,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_1401807535.jpg,운영중
7666,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_445559600.jpg,운영중
7667,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_246205364.jpg,운영중
7668,42486,종로회관,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2021-09/restaurant/67545_1615529943.jpg,운영중
