순번,구분,시 설 명,운 영,등록일,연면적(제곱미터),대표자,전화
1,전라북도,전북도립미술관,공 립,2006-01-09,6904,전라북도지사,063-290-6888
2,전주,교동미술관,사 립,2013-01-03,217,김**,063-287-1245
3,전주,전주미술관,사 립,2013-07-24,648,김**,063-283-8886
4,전주,누벨백미술관,사 립,2016-09-13,205,김**,063-222-7235
5,군산,이당미술관,사 립,2015-12-30,430,정**,063-446-5903
6,군산,예깊미술관,사 립,2016-05-11,495,임**,063-911-2207
7,익산,익산예술의전당 미술관,공 립,2016-03-31,3368,익산시장,063-859-3317
8,익산,W미술관,사 립,2013-01-03,206,신**,063-835-3033
9,정읍,정읍시립미술관,공 립,2017-03-23,1696,정읍시장,063-539-6420
10,남원,수지미술관,사 립,2015-11-10,360,심**,063-631-1009
11,남원,남원시립 김병종미술관,공 립,2018-03-02,1442,남원시장,063-620-5660
12,김제,벽천미술관,공 립,2019-09-26,490,김제시장,063-540-4994
13,완주,산속등대미술관,사 립,2019-08-02,688.96,원**,070-4414-4740
14,무주,최북미술관,공 립,2014-03-11,1094,무주군수,063-320-5636
15,장수,장수미술관,사 립,2019-11-27,223.16,이**,063-351-3383
16,순창,옥천골미술관,공 립,,465,순창군수,063-650-1638
17,부안,금구원야외조각 미술관,사 립,2003-07-23,10000,김**,063-584-6770
18,부안,휘목미술관,사 립,2011-05-17,3960,우**,063-584-0006
