대행업소명,도로명주소,지번주소,위도,경도,소재지전화번호,데이터기준일자
21세기종합동물병원,전북특별자치도 전주시 덕진구 시천로 26,전북특별자치도 전주시 덕진구 송천동1가 626-42,35.86154545,127.1149377,063-251-1015,2026-02-07
링크늘푸른동물병원,전북특별자치도 전주시 완산구 충경로 11,전북특별자치도 전주시 완산구 다가동3가 24-9,35.81692254,127.1407278,063-281-0075,2026-02-07
닥터펫동물병원,전북특별자치도 전주시 완산구 백제대로 378,전북특별자치도 전주시 완산구 서신동 산 997-8,35.82687266,127.1230466,063-275-7585,2026-02-07
데이지동물병원,전북특별자치도 전주시 완산구 거마평로 170,전북특별자치도 전주시 완산구 효자동1가 388,35.80774938,127.1164072,063-225-7588,2026-02-07
동부동물병원,전북특별자치도 전주시 완산구 기린대로 139,전북특별자치도 전주시 완산구 경원동3가 3-10,35.82098483,127.1520961,063-231-2455,2026-02-07
마루동물병원,전북특별자치도 전주시 완산구 감나무3길 4 ,전북특별자치도 전주시 완산구 서신동 780-4,35.83081417,127.1223871,063-276-7500,2026-02-07
메이동물메디컬센터,전북특별자치도 전주시 완산구 백제대로 218,전북특별자치도 전주시 완산구 중화산동2가 142-11,35.81237954,127.123614,063-285-7975,2026-02-07
모래내동물병원,전북특별자치도 전주시 덕진구 안덕원로 165,전북특별자치도 전주시 덕진구 인후동2가 234-1,35.83392562,127.1459333,063-274-7500,2026-02-07
바우동물병원,전북특별자치도 전주시 덕진구 견훤로 491,전북특별자치도 전주시 덕진구 우아동3가 602-1,35.85446747,127.155094,063-243-3200,2026-02-07
박영재동물병원,전북특별자치도 전주시 완산구 팔달로 112,전북특별자치도 전주시 완산구 전동 199,35.81273356,127.1492588,063-284-7774,2026-02-07
사라양한방동물병원,전북특별자치도 전주시 덕진구 벚꽃로 21,전북특별자치도 전주시 덕진구 진북동 434-91,35.82888457,127.1320969,063-901-7582,2026-02-07
사랑플러스동물병원,전북특별자치도 전주시 덕진구 쪽구름2길 3,전북특별자치도 전주시 덕진구 반월동 236-11,35.87328642,127.0754931,063-211-0600,2026-02-07
산책동물병원,전북특별자치도 전주시 덕진구 건산로 290,전북특별자치도 전주시 덕진구 우아동2가 866-11,35.83589751,127.1687682,063-244-7509,2026-02-07
송동물의료센터,전북특별자치도 전주시 덕진구 견훤로 247,전북특별자치도 전주시 덕진구 인후동1가 448-36,35.83383085,127.1575322,063-247-6677,2026-02-07
아이들동물병원,전북특별자치도 전주시 덕진구 만성중앙로 25,전북특별자치도 전주시 덕진구 만성동 1366-3,35.84399986,127.0746575,063-273-5575,2026-02-07
에코동물병원,전북특별자치도 전주시 덕진구 세병로 41,전북특별자치도 전주시 덕진구 송천동2가 1311,35.87440204,127.1298461,063-251-7975,2026-02-07
올리몰스동물병원,전북특별자치도 전주시 덕진구 송천중앙로 213,전북특별자치도 전주시 덕진구 송천동1가 809-3,35.8660363,127.1212137,063-275-7979,2026-02-07
웰동물병원,전북특별자치도 전주시 완산구 서원로 72,전북특별자치도 전주시 완산구 효자동2가 1255-2,35.81339386,127.10238,063-227-8275,2026-02-07
자스민동물병원,전북특별자치도 전주시 덕진구 백석로 18,전북특별자치도 전주시 덕진구 송천동2가 1358-3,35.87102921,127.1362623,063-276-3939,2026-02-07
전주동물병원,전북특별자치도 전주시 완산구 세내로 509-1,전북특별자치도 전주시 완산구 효자동3가 1480-3,35.8321512,127.1028548,063-255-0630,2026-02-07
코끼리동물병원,전북특별자치도 전주시 완산구 모악로 4769,전북특별자치도 전주시 완산구 평화동1가 708-4,35.795077,127.1321811,063-902-7975,2026-02-07
코끼리동물병원(중화산점),전북특별자치도 전주시 완산구 중화산로 100,전북특별자치도 전주시 완산구 중화산동2가 591-10,35.81925274,127.1183272,063-245-7975,2026-02-07
펫동물병원,전북특별자치도 전주시 완산구 용머리로 57,전북특별자치도 전주시 완산구 효자동1가 435-3,35.80694364,127.1163265,063-221-7582,2026-02-07
푸른 동물병원,전북특별자치도 전주시 덕진구 쪽구름로 71-2,전북특별자치도 전주시 덕진구 반월동 248-7,35.87179632,127.0761584,063-211-2662,2026-02-07
