연번,식당명,도로명주소,지번주소,식당위도,식당경도,식당대표전화번호,영업신고증업태명,영업인허가명,식당상태
1,동해,,전북특별자치도 전주시 덕진구 덕진동2가 168 ,35.85053223,127.1176265,,정종/대포집/소주방,일반음식점,운영중
2,삼시세끼푸드,전북특별자치도 전주시 덕진구 떡전로 5 (금암동),전북특별자치도 전주시 덕진구 금암동 794-7 ,35.83571102,127.1282503,063-253-3997,한식,일반음식점,운영중
3,진향,전북특별자치도 전주시 덕진구 가리내로 18 (금암동),전북특별자치도 전주시 덕진구 금암동 460-15 ,35.83459873,127.1339848,063-252-4727,중국식,일반음식점,운영중
4,천일반점,전북특별자치도 전주시 덕진구 기린대로 390 (금암동),전북특별자치도 전주시 덕진구 금암동 470-8 ,35.83723315,127.1330929,063-242-5346,중국식,일반음식점,운영중
5,옥이네행복보험,전북특별자치도 전주시 덕진구 가리내로 26 (금암동),전북특별자치도 전주시 덕진구 금암동 460-11 ,35.83442383,127.1334776,,기타,일반음식점,운영중
6,형제물갈비,전북특별자치도 전주시 덕진구 아중중앙로 8 (우아동2가),전북특별자치도 전주시 덕진구 우아동2가 927-4 ,35.82926614,127.1728906,063-284-3647,한식,일반음식점,운영중
7,양기복집,전북특별자치도 전주시 덕진구 벚꽃3길 4-13 (진북동),전북특별자치도 전주시 덕진구 진북동 1022-21 ,35.82816817,127.1346522,063-273-0676,복어취급,일반음식점,운영중
8,짬뽕명가,전북특별자치도 전주시 덕진구 권삼득로 385 (덕진동2가),전북특별자치도 전주시 덕진구 덕진동2가 189-25 ,35.8467258,127.1209232,063-278-6557,중국식,일반음식점,운영중
9,취향식당,전북특별자치도 전주시 덕진구 덕진연못3길 7 (덕진동2가),전북특별자치도 전주시 덕진구 덕진동2가 198 ,35.84673174,127.1205025,063-277-1985,한식,일반음식점,운영중
10,고속반점,"전북특별자치도 전주시 덕진구 용산1길 12 (금암동, 1층일부)",전북특별자치도 전주시 덕진구 금암동 765-1 1층일부 ,35.83496999,127.1304721,063-272-6875,중국식,일반음식점,운영중
11,청룡반점,전북특별자치도 전주시 덕진구 건산3길 22 (진북동),전북특별자치도 전주시 덕진구 진북동 346-1 ,35.83282185,127.1413534,063-252-4702,중국식,일반음식점,운영중
12,오리국수,전북특별자치도 전주시 덕진구 가리내로 9 (금암동),전북특별자치도 전주시 덕진구 금암동 457-3 ,35.83424476,127.1348963,063-271-4455,한식,일반음식점,운영중
13,덕천식당,"전북특별자치도 전주시 덕진구 명륜1길 6 (금암동,외1필지)",전북특별자치도 전주시 덕진구 금암동 709-9 외1필지 ,35.84042301,127.1292393,063-254-7365,한식,일반음식점,운영중
14,꼬레아이금암골드점,"전북특별자치도 전주시 덕진구 가리내로 70 (금암동, 고속터미널 2층일부)",전북특별자치도 전주시 덕진구 금암동 767-2 고속터미널 2층일부 ,35.8344927,127.1292819,063-274-7693,호프/통닭,일반음식점,운영중
15,늘채움,"전북특별자치도 전주시 덕진구 덕진연못3길 6, 1층 (덕진동2가)",전북특별자치도 전주시 덕진구 덕진동2가 200-5 ,35.84656148,127.1206372,063-272-5737,한식,일반음식점,운영중
16,한양가맥,전북특별자치도 전주시 덕진구 시천로 29-5 (송천동1가),전북특별자치도 전주시 덕진구 송천동1가 626-4 ,35.86175497,127.1141474,063-252-1755,한식,일반음식점,운영중
17,용집,전북특별자치도 전주시 덕진구 명륜2길 11 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1265-26 ,35.8416344,127.1284955,063-254-9532,한식,일반음식점,운영중
18,순정닭발전북대점,전북특별자치도 전주시 덕진구 명륜5길 18 (덕진동1가),전북특별자치도 전주시 덕진구 덕진동1가 1314-157 ,35.84418535,127.1260433,,한식,일반음식점,운영중
