연번,구분,시 설 명,소 재 지,객실수,전화번호,홈페이지,부대시설,주변관광지,데이터기준일
1,관광호텔,전주호텔한성,전주시 완산구 전주객사5길 44-5,40,063-288-0014,hansunghotel.alltheway.kr,"세미나실, 조식식당","전주객사, 영화의 거리, 한옥마을",2015-08-30
2,관광호텔,화이트관광호텔,전주시 덕진구 전주천동로 501,35,063-271-0123,whitehotel.kr,"세미나룸, 브랙퍼스트바","전주한옥마을, 덕진공원",2015-08-30
3,관광호텔,궁관광호텔,전주시 덕진구 용산1길 17-4,30,063-255-3311,www.jjgung.co.kr,"세미나룸, 비즈니스룸, 한식당","전주한옥마을, 덕진공원",2015-08-30
4,관광호텔,풍남관광호텔,전주시 완산구 객사2길 45-7,63,063-231-7900,www.pungnamhotel.com,"연회장, 커피숍, 인터넷센터","전주한옥마을, 전주객사, 영화의 거리",2015-08-30
5,관광호텔,전주관광호텔,전주시 완산구 객사5길 44-5,46,063-280-7700,jeonjuhotel.co.kr,"웨딩홀, 연회장, 건식사우나실","전주하옥마을, 전동성당, 남부시장",2015-08-30
6,관광호텔,해뜨는언덕 관광호텔,군산시 부곡3길 6,40,063-468-0707,www.fmotel.co.kr,"비즈니스실, 휴게실","군산근대역사박물관, 새만금방조제",2015-08-30
7,관광호텔,채석강스타힐스 호텔,부안군 변산면 채석강길 33,35,063-581-9911,www.starhillshotel.com,"마사지실, 식음료장, 바베큐장, 노래연습장","채석강, 내소사, 부안영상테마파크",2015-08-30
8,굿스테이,라뉘호텔,전주시 덕진구 송천중앙로 12-4,32,063-253-5707,www.lanuit.co.kr,없음,"전주덕진공원, 전주한옥마을",2015-08-30
9,굿스테이,르시엘호텔,전주시 덕진구 산정2길 23,32,063-245-4848,www.lecielhotel.co.kr,없음,"전주한옥마을, 전주덕진공원",2015-08-30
10,굿스테이,아리랑호텔,전주시 덕진구 용산2길 17-6,32,063-273-4193,www.jj-arirang.co.kr,"세미나실, 비즈니스실","전주덕진공원, 전주한옥마을, 동물원",2015-08-30
11,굿스테이,카멜리아,전주시 덕진구 산정1길 12-4,33,063-243-9900,www.camelliahotel.kr,비즈니스센터,"전주한옥마을, 전주덕진공원, 동물원",2015-08-30
12,굿스테이,호텔린하우스,전주시 덕진구 산정2길 6-4,32,063-244-5585,www.hotellynn.kr,없음,"전주한옥마을, 전주동물원, 전주덕진공원",2015-08-30
13,굿스테이,전주호텔,전주시 덕진구 산정2길 31,32,063-247-3333,hoteljeonju.com,없음,"전주한옥마을, 전주동물원, 전주덕진공원",2015-08-30
14,굿스테이,웨스턴호텔,군산시 옥서면 선연길 17,33,063-471-0715,www.western-inn.kr,"파티장, 휴게실, 골프연습실, 당구장","군산근대역사박물관, 새만금방조제",2015-08-30
15,굿스테이,프로방스,군산시 가도2길 9,40,063-466-3201,www.probangs.co.kr,없음,"군산근대역사박물관, 새만금방조제",2015-08-30
16,굿스테이,군산뉴그랜드모텔,군산시 장미1길 21,48,063-446-4397,blog.naver.com/newgrand1,사우나실,"군산근대역사박물관, 이성당 빵집, 일본식가옥",2015-08-30
17,굿스테이,왕궁온천장,익산시 왕궁면 온천길 38,32,063-291-5000,www.wgspa.co.kr,"세미나실, 한식당, 매점","미륵사지, 귀금속보석단지",2015-08-30
